"meteorite_name","recclass","mass_g","impact_year"
"Jiddat al Harasis 114","H~4","112.8",2004
"Jiddat al Harasis 115","L~6","442",2004
"Jiddat al Harasis 116","L~6","32.5",2004
"Jiddat al Harasis 117","H~5","10.8",2004
"Jiddat al Harasis 118","LL~6","1802",2005
"Jiddat al Harasis 119","L~6","1000",2004
"Jiddat al Harasis 120","H5","1070.7",2002
"Jiddat al Harasis 121","H5","257.1",2002
"Jiddat al Harasis 122","L5","43.6",2002
"Jiddat al Harasis 123","LL5","248",2004
"Jiddat al Harasis 124","L5","1414",2001
"Jiddat al Harasis 125","H6","36",2004
"Jiddat al Harasis 130","L6","54.7",2005
"Jiddat al Harasis 200","L6","175.47",2002
"Jiddat al Harasis 201","L4","929.4",2002
"Jiddat al Harasis 202","Mesosiderite","355.11",2002
"Jiddat al Harasis 203","Mesosiderite-C2","46200",2002
"Jiddat al Harasis 204","Mesosiderite","155.94",2002
"Jiddat al Harasis 205","Mesosiderite","502.22",2002
"Jiddat al Harasis 206","Mesosiderite","1185.51",2002
"Jiddat al Harasis 207","Mesosiderite","19.41",2002
"Jiddat al Harasis 208","Mesosiderite","492.31",2002
"Jiddat al Harasis 209","Mesosiderite","98.37",2002
"Jiddat al Harasis 210","Mesosiderite","368.82",2002
"Jiddat al Harasis 211","H4","325.25",2002
"Jiddat al Harasis 212","L4","2711",2003
"Jiddat al Harasis 213","L6","3563",2003
"Jiddat al Harasis 214","H5","459.06",2005
"Jiddat al Harasis 215","H5","121.34",2005
"Jiddat al Harasis 216","L5-6","5.5",2005
"Jiddat al Harasis 217","H4","9.36",2005
"Jiddat al Harasis 218","L5","2927.04",2005
"Jiddat al Harasis 219","L4-5","376.89",2005
"Jiddat al Harasis 220","L4-5","1350.6",2005
"Jiddat al Harasis 221","L5","4012",2005
"Jiddat al Harasis 222","L4-5","314.6",2005
"Jiddat al Harasis 223","H5","1691.5",2005
"Jiddat al Harasis 224","H5","487.71",2005
"Jiddat al Harasis 225","Mesosiderite","64.67",2005
"Jiddat al Harasis 226","Mesosiderite","308.67",2005
"Jiddat al Harasis 227","H4","640.8",2005
"Jiddat al Harasis 228","H4-5","4.97",2005
"Jiddat al Harasis 229","L5","5135",2005
"Jiddat al Harasis 230","L5","77000",2005
"Jiddat al Harasis 231","L4","14.26",2005
"Jiddat al Harasis 232","L6","17.52",2005
"Jiddat al Harasis 233","Mesosiderite","735.8",2005
"Jiddat al Harasis 234","R5","116.56",2005
"Jiddat al Harasis 235","H4","13.08",2005
"Jiddat al Harasis 236","R5","0.54",2005
"Jiddat al Harasis 237","Mesosiderite","3.89",2005
"Jiddat al Harasis 238","Mesosiderite","298",2005
"Jiddat al Harasis 239","R5","12.4",2005
"Jiddat al Harasis 240","Mesosiderite","603.9",2005
"Jiddat al Harasis 241","Mesosiderite","38.7",2005
"Jiddat al Harasis 242","H4","225.32",2005
"Jiddat al Harasis 243","Mesosiderite","61",2005
"Jiddat al Harasis 244","H4","63.47",2005
"Jiddat al Harasis 245","Mesosiderite","16.2",2005
"Jiddat al Harasis 246","Mesosiderite","234.1",2005
"Jiddat al Harasis 247","Mesosiderite","42.9",2005
"Jiddat al Harasis 248","Mesosiderite","5.02",2005
"Jiddat al Harasis 249","R5","20.8",2005
"Jiddat al Harasis 250","Mesosiderite","106.1",2005
"Jiddat al Harasis 251","Mesosiderite","60.5",2005
"Kielpa","H5","13600",1948
"Jiddat al Harasis 252","Mesosiderite","56.5",2005
"Jiddat al Harasis 253","Mesosiderite","106.6",2005
"Jiddat al Harasis 254","H5","1918",2005
"Jiddat al Harasis 255","H5","140.22",2005
"Jiddat al Harasis 256","H5","3040.5",2005
"Jiddat al Harasis 257","H4-5","331.9",2005
"Jiddat al Harasis 258","H4-5","421.9",2005
"Jiddat al Harasis 259","H4","20.26",2005
"Jiddat al Harasis 260","H5","175.02",2005
"Jiddat al Harasis 261","H6","81.14",2005
"Jiddat al Harasis 262","H5","410.31",2005
"Jiddat al Harasis 263","H5","1212.5",2005
"Jiddat al Harasis 264","H4-5","419.8",2005
"Jiddat al Harasis 265","L6","886.3",2005
"Jiddat al Harasis 266","Mesosiderite","150.1",2005
"Jiddat al Harasis 267","Mesosiderite","16005.5",2005
"Jiddat al Harasis 268","L6","26.03",2005
"Jiddat al Harasis 269","H4","62.71",2005
"Jiddat al Harasis 270","H5","69.5",2005
"Jiddat al Harasis 271","H5","25.87",2005
"Jiddat al Harasis 272","H4","942.1",2005
"Jiddat al Harasis 273","L6","198.95",2005
"Jiddat al Harasis 274","H4/6","2738.5",2005
"Jiddat al Harasis 275","H4-5","304.9",2005
"Jiddat al Harasis 276","H4/6","1798.9",2005
"Jiddat al Harasis 277","H4/6","58.8",2005
"Jiddat al Harasis 278","H4/6","707.4",2005
"Jiddat al Harasis 279","L6","7494.2",2005
"Jiddat al Harasis 280","H4","533.3",2005
"Jiddat al Harasis 281","H5-6","97.5",2005
"Jiddat al Harasis 282","H4/6","54.5",2005
"Jiddat al Harasis 283","L5","1323.9",2005
"Jiddat al Harasis 284","H4","5448.4",2005
"Jiddat al Harasis 285","H4-5","235.47",2005
"Jiddat al Harasis 286","H4-5","551.39",2005
"Jiddat al Harasis 287","L5","192.77",2005
"Jiddat al Harasis 288","L5","2623",2005
"Jiddat al Harasis 289","L6","2519.3",2005
"Jiddat al Harasis 290","L5","671.2",2005
"Jiddat al Harasis 291","L5","923",2005
"Jiddat al Harasis 292","L5","985.2",2005
"Jiddat al Harasis 293","L5","8420",2005
"Jiddat al Harasis 294","L5","503.95",2005
"Jiddat al Harasis 295","L5","4820",2005
"Jiddat al Harasis 296","L5","294.42",2005
"Jiddat al Harasis 297","L5","643.3",2005
"Jiddat al Harasis 298","L5","313.1",2005
"Jiddat al Harasis 299","L5","159.59",2005
"Jiddat al Harasis 300","L5","208.35",2005
"Jiddat al Harasis 301","L5","181.59",2005
"Jiddat al Harasis 302","L5","288.51",2005
"Jiddat al Harasis 303","L5","60.21",2005
"Jiddat al Harasis 304","L5","39.54",2005
"Jiddat al Harasis 305","L5","46.98",2005
"Jiddat al Harasis 306","L5","49.77",2005
"Jiddat al Harasis 307","L5","220.3",2005
"Jiddat al Harasis 308","L6","620.9",2005
"Jiddat al Harasis 309","L6","43.9",2005
"Jiddat al Harasis 310","L6","3034.5",2005
"Jiddat al Harasis 311","H4","378.74",2005
"Jiddat al Harasis 312","L6","3489",2005
"Jiddat al Harasis 313","L6","1899.7",2005
"Jiddat al Harasis 314","H5","80.81",2005
"Jiddat al Harasis 315","H5","209.72",2005
"Jiddat al Harasis 316","L~6","166.2",2001
"Jiddat al Harasis 317","H5","21472",2001
"Jiddat al Harasis 318","H~5","103.1",2001
"Jiddat al Harasis 319","Mesosiderite","4.5",2007
"Jiddat al Harasis 320","Mesosiderite","25.7",2007
"Jiddat al Harasis 321","H5","1070.75",2002
"Jiddat al Harasis 322","H5","257.08",2002
"Jiddat al Harasis 323","H5","2967",2005
"Jiddat al Harasis 324","L5","791",2006
"Jiddat al Harasis 325","H4","84.83",2006
"Jiddat al Harasis 326","L6","73.09",2006
"Jiddat al Harasis 327","L6","527.53",2006
"Jiddat al Harasis 328","L6","2221.23",2006
"Jiddat al Harasis 329","L6","272.48",2006
"Jiddat al Harasis 330","L6","65.49",2006
"Jiddat al Harasis 331","L6","96.14",2006
"Jiddat al Harasis 332","L6","93.45",2006
"Jiddat al Harasis 333","H4-6","16",2006
"Jiddat al Harasis 334","L6","261.65",2006
"Jiddat al Harasis 335","Diogenite","50.47",2006
"Jiddat al Harasis 336","H4-6","199.51",2006
"Jiddat al Harasis 337","L6","731.44",2006
"Jiddat al Harasis 338","L6","85.94",2006
"Jiddat al Harasis 339","L6","488.34",2006
"Jiddat al Harasis 340","L6","320.3",2006
"Jiddat al Harasis 341","L5","225.55",2006
"Jiddat al Harasis 342","L5","49750",2006
"Jiddat al Harasis 343","LL6","528.4",2006
"Jiddat al Harasis 344","H4","497.4",2006
"Jiddat al Harasis 345","H6","470",2006
"Jiddat al Harasis 346","H5","712.6",2006
"Jiddat al Harasis 347","H5-6","850.7",2006
"Jiddat al Harasis 348","Lunar","18.4",2006
"Jiddat al Harasis 349","L~6","64.3",2003
"Jiddat al Harasis 350","L~6","67.3",2003
"Jiddat al Harasis 351","H~5","437.3",2003
"Jiddat al Harasis 352","H~6","1005",2003
"Jiddat al Harasis 353","H~5","366.2",2003
"Jiddat al Harasis 354","L~6","1200.8",2003
"Jiddat al Harasis 355","L~6","16879.1",2003
"Jiddat al Harasis 356","H~6","53.3",2003
"Jiddat al Harasis 357","H~6","1479.5",2003
"Jiddat al Harasis 358","L~5","528.2",2003
"Jiddat al Harasis 359","H~4","645.3",2003
"Jiddat al Harasis 360","L-melt rock","55.5",2003
"Jiddat al Harasis 361","L~4","21.2",2003
"Jiddat al Harasis 362","L~5","104.5",2003
"Jiddat al Harasis 363","H~5","186.5",2003
"Jiddat al Harasis 364","L~6","735.6",2003
"Jiddat al Harasis 365","H~4","3665.1",2003
"Jiddat al Harasis 366","L~6","99.5",2003
"Jiddat al Harasis 367","L~5","572.9",2003
"Jiddat al Harasis 368","H~4","892.7",2003
"Jiddat al Harasis 369","H~5","7100",2003
"Jiddat al Harasis 370","L~6","1453.1",2003
"Jiddat al Harasis 371","L~6","660.5",2003
"Jiddat al Harasis 372","H~4","380.9",2003
"Jiddat al Harasis 373","L~5","68.6",2003
"Jiddat al Harasis 374","H5","60.6",2003
"Jiddat al Harasis 375","L~4","113.4",2003
"Jiddat al Harasis 376","H5","1429.4",2003
"Jiddat al Harasis 377","H5","373.5",2003
"Jiddat al Harasis 378","L~6","1186.3",2003
"Jiddat al Harasis 379","H~6","297.7",2003
"Jiddat al Harasis 380","H~5","144.5",2003
"Jiddat al Harasis 381","H~5","501",2003
"Jiddat al Harasis 382","H~5","308.9",2003
"Jiddat al Harasis 383","H~5","374.8",2003
"Jiddat al Harasis 384","L~6","519.7",2003
"Jiddat al Harasis 385","L~6","161.6",2003
"Jiddat al Harasis 386","H~5","1412.9",2003
"Jiddat al Harasis 387","L5","622.4",2003
"Jiddat al Harasis 388","L~6","1589.2",2003
"Jiddat al Harasis 389","H~6","1059.7",2003
"Jiddat al Harasis 390","H~6","159.2",2003
"Jiddat al Harasis 391","H~4","57.9",2003
"Jiddat al Harasis 392","H~6","220.8",2003
"Jiddat al Harasis 393","H~5","1360.8",2003
"Jiddat al Harasis 394","L~6","1174.4",2003
"Jiddat al Harasis 395","Diogenite","243",2000
"Jiddat al Harasis 396","LL5","122.595",2002
"Jiddat al Harasis 397","H4","139.088",2002
"Jiddat al Harasis 398","H4","262.283",2002
"Jiddat al Harasis 399","H4","90",2002
"Jiddat al Harasis 400","H4","70.758",2002
"Jiddat al Harasis 401","L6","49.33",2002
"Jiddat al Harasis 402","H5","81.638",2002
"Jiddat al Harasis 403","Mesosiderite","153.278",2002
"Jiddat al Harasis 404","Eucrite","341",2006
"Jiddat al Harasis 405","Eucrite","980",2006
"Jiddat al Harasis 406","L6","33000",2006
"Jiddat al Harasis 407","H6","7000",2006
"Jiddat al Harasis 408","L5","280.972",2007
"Jiddat al Harasis 409","Eucrite","283.604",2007
"Jiddat al Harasis 410","Eucrite","529.639",2007
"Jiddat al Harasis 411","L6","159.4",2007
"Jiddat al Harasis 412","H6","14.745",2007
"Jiddat al Harasis 413","H4","172.6",2007
"Jiddat al Harasis 414","H6","27.298",2007
"Jiddat al Harasis 415","H6","304.246",2007
"Jiddat al Harasis 416","L6","18.77",2007
"Jiddat al Harasis 417","H4-5","36.132",2007
"Jiddat al Harasis 418","H4","205.926",2007
"Jiddat al Harasis 419","H4","111.224",2007
"Jiddat al Harasis 420","H3/4","25.091",2007
"Jiddat al Harasis 421","L6","47.909",2007
"Jiddat al Harasis 422","Ureilite","61.5",2007
"Jiddat al Harasis 423","H4","1457.3",2007
"Jiddat al Harasis 424","Ureilite","160.32",2007
"Jiddat al Harasis 425","H3.4","257.287",2007
"Jiddat al Harasis 426","L6","11170.1",2007
"Jiddat al Harasis 427","H4/5","16.715",2007
"Jiddat al Harasis 428","H6","131.449",2007
"Jiddat al Harasis 429","H4","36.657",2007
"Jiddat al Harasis 430","L4/5","5.757",2007
"Jiddat al Harasis 431","H4","18.319",2007
"Jiddat al Harasis 432","H6","345.34",2007
"Jiddat al Harasis 433","H6","661.9",2007
"Jiddat al Harasis 434","L6","186.426",2007
"Jiddat al Harasis 435","L6","353.16",2007
"Jiddat al Harasis 436","L6","308.65",2007
"Jiddat al Harasis 437","H5","364.022",2007
"Jiddat al Harasis 438","H4","658",2007
"Jiddat al Harasis 439","H4","1024.3",2007
"Jiddat al Harasis 440","L4","32.169",2007
"Jiddat al Harasis 441","L4","513.831",2007
"Jiddat al Harasis 442","L4","287.487",2007
"Jiddat al Harasis 443","L4","759.777",2007
"Jiddat al Harasis 444","L4","68.039",2007
"Jiddat al Harasis 445","L4","94.018",2007
"Jiddat al Harasis 446","L4","210.578",2007
"Jiddat al Harasis 447","L4","3.601",2007
"Jiddat al Harasis 448","L4","275.764",2007
"Jiddat al Harasis 449","L/LL4","73.647",2007
"Jiddat al Harasis 450","H3.7-5","217.741",2007
"Jiddat al Harasis 451","H6","334.313",2007
"Jiddat al Harasis 452","L4","100.614",2007
"Jiddat al Harasis 453","L5","48.336",2007
"Jiddat al Harasis 454","H5","417.209",2007
"Jiddat al Harasis 455","H6","88.132",2007
"Jiddat al Harasis 456","H6","264.74",2007
"Jiddat al Harasis 457","L6","6442",2007
"Jiddat al Harasis 458","H4","3092.14",2007
"Jiddat al Harasis 459","H6","138.824",2007
"Jiddat al Harasis 460","H6","204.214",2007
"Jiddat al Harasis 461","L6","3308.7",2007
"Jiddat al Harasis 462","L6","106.089",2007
"Jiddat al Harasis 463","H5","83.618",2007
"Jiddat al Harasis 464","L4","85.999",2007
"Jiddat al Harasis 465","L6","30.568",2007
"Jiddat al Harasis 466","H6","9.049",2007
"Jiddat al Harasis 467","H5","24.937",2007
"Jiddat al Harasis 468","L6","1064.1",2007
"Jiddat al Harasis 469","L6","5.263",2007
"Jiddat al Harasis 470","L4","267.943",2007
"Jiddat al Harasis 471","L6","8.973",2007
"Jiddat al Harasis 472","L6","140.569",2007
"Jiddat al Harasis 473","L6","25.529",2007
"Jiddat al Harasis 474","LL3.7-6","226.806",2007
"Jiddat al Harasis 475","H5","125.713",2007
"Jiddat al Harasis 476","L6","453.3",2007
"Jiddat al Harasis 477","H4/5","493.8",2007
"Jiddat al Harasis 478","L5","180.5",2007
"Jiddat al Harasis 479  ","Martian (shergottite)","553",2008
"Jiddat al Harasis 480","H5","21.7",2008
"Jiddat al Harasis 481","Mesosiderite","3.8",2008
"Jiddat al Harasis 482","Mesosiderite","31.9",2008
"Jiddat al Harasis 483","Mesosiderite","2.9",2008
"Jiddat al Harasis 484","H6","5.8",2008
"Jiddat al Harasis 485","Mesosiderite","40.5",2008
"Jiddat al Harasis 486","Mesosiderite","15.8",2008
"Jiddat al Harasis 487","H6","5.9",2008
"Jiddat al Harasis 488","H3","22",2008
"Jiddat al Harasis 489","Mesosiderite","30.9",2008
"Jiddat al Harasis 490","H6","8",2008
"Jiddat al Harasis 491","H4/5","43",2008
"Jiddat al Harasis 492","Mesosiderite","325",2008
"Jiddat al Harasis 493","L6","438.7",2007
"Jiddat al Harasis 494","L6","63.8",2007
"Jiddat al Harasis 495","L6","501.8",2007
"Jiddat al Harasis 496","L6","254.4",2007
"Jiddat al Harasis 497","L6","36.9",2007
"Jiddat al Harasis 498","L6","59.5",2007
"Jiddat al Harasis 499","L6","606.4",2007
"Jiddat al Harasis 500","H5","1432.2",2007
"Jiddat al Harasis 501","H5","6751.4",2007
"Jiddat al Harasis 502","H5","138.6",2007
"Jiddat al Harasis 503","H3-4","2421.6",2007
"Jiddat al Harasis 504","H3-5","674.3",2007
"Jiddat al Harasis 505","H5","326.2",2008
"Jiddat al Harasis 506","H5","2850.3",2008
"Jiddat al Harasis 507","L6","310",2008
"Jiddat al Harasis 508","L6","387.9",2008
"Jiddat al Harasis 509","H4","147.8",2008
"Jiddat al Harasis 510","H6","21.9",2008
"Jiddat al Harasis 511","H6","166.4",2008
"Jiddat al Harasis 512","H4","1242",2008
"Jiddat al Harasis 513","LL7","9.5",2008
"Jiddat al Harasis 514","EL4","20.2",2008
"Jiddat al Harasis 515","L5-6","24.4",2008
"Jiddat al Harasis 516","H5","172.8",2008
"Jiddat al Harasis 517","H6","162.3",2008
"Jiddat al Harasis 518","H6","14.1",2008
"Jiddat al Harasis 519","H6","0.9",2008
"Jiddat al Harasis 520","L6","117.1",2008
"Jiddat al Harasis 521","L6","1989",2008
"Jiddat al Harasis 522","H6","6",2008
"Jiddat al Harasis 523","H6","60.6",2008
"Jiddat al Harasis 524","H6","6",2008
"Jiddat al Harasis 525","L4-6","1.6",2008
"Jiddat al Harasis 526","H6","5.6",2008
"Jiddat al Harasis 527","H6","3.8",2008
"Jiddat al Harasis 528","H6","19.7",2008
"Jiddat al Harasis 529","H6","2.1",2008
"Jiddat al Harasis 530","H4-6","12.6",2008
"Jiddat al Harasis 531","H6","1.7",2008
"Jiddat al Harasis 532","L6","30.8",2008
"Jiddat al Harasis 533","H6","24",2008
"Jiddat al Harasis 534","H6","87.1",2008
"Jiddat al Harasis 535","H4-6","89.4",2008
"Jiddat al Harasis 536","H6","1",2008
"Jiddat al Harasis 537","H6","33.2",2008
"Jiddat al Harasis 538","H6","316",2008
"Jiddat al Harasis 539","H4","0.5",2008
"Jiddat al Harasis 540","H5","259.2",2008
"Jiddat al Harasis 541","H5","104.2",2008
"Jiddat al Harasis 542","H4","80.1",2008
"Jiddat al Harasis 543","H6","8.8",2008
"Jiddat al Harasis 544","H5","78.8",2008
"Jiddat al Harasis 545","H5","14.6",2008
"Jiddat al Harasis 546","H6","322.9",2008
"Jiddat al Harasis 547","H4-6","105.6",2008
"Jiddat al Harasis 548","L6","433.6",2008
"Jiddat al Harasis 549","H5","86.5",2008
"Jiddat al Harasis 550","H6","193.9",2008
"Jiddat al Harasis 551","H4-6","24",2008
"Jiddat al Harasis 552","L5","17.7",2008
"Jiddat al Harasis 553","L6","496.5",2008
"Jiddat al Harasis 554","H6","6.8",2008
"Jiddat al Harasis 555","H5","1759.6",2008
"Jiddat al Harasis 556","Howardite","36.6",2008
"Jiddat al Harasis 557","H5","29.9",2008
"Jiddat al Harasis 558","L6","67.6",2008
"Jiddat al Harasis 559","H3.7/3.8","208.6",2008
"Jiddat al Harasis 560","H4","108.6",2008
"Jiddat al Harasis 561","H5","8.7",2008
"Jiddat al Harasis 562","L3.7/3.8","350",2008
"Jiddat al Harasis 563","H6","2141.4",2008
"Jiddat al Harasis 564","H6","1173",2008
"Jiddat al Harasis 565","H5","3.2",2008
"Jiddat al Harasis 566","L6","2.4",2007
"Jiddat al Harasis 568","H4-6","3249",2009
"Jiddat al Harasis 569","H4-6","159.3",2009
"Jiddat al Harasis 570","H4-6","4747.9",2009
"Jiddat al Harasis 571","H4-6","802.6",2009
"Jiddat al Harasis 572","H5-6","417.6",2009
"Jiddat al Harasis 573","H4-6","28.9",2009
"Jiddat al Harasis 574","H4-6","13000",2009
"Jiddat al Harasis 575","H6","190.4",2009
"Jiddat al Harasis 576","H5/6","284.6",2009
"Jiddat al Harasis 577","H4/5","81.6",2009
"Jiddat al Harasis 578","H6","1064.3",2009
"Jiddat al Harasis 579","L4-6","475.1",2009
"Jiddat al Harasis 580","H5","1929",2009
"Jiddat al Harasis 581","H5","375.1",2009
"Jiddat al Harasis 582","L6","1647.5",2009
"Jiddat al Harasis 583","H5","1272.5",2009
"Jiddat al Harasis 584","H6","715.2",2009
"Jiddat al Harasis 585","H5","408.7",2009
"Jiddat al Harasis 586","H5","3568.5",2009
"Jiddat al Harasis 587","H5","1721.5",2009
"Jiddat al Harasis 588","L6","165.3",2009
"Jiddat al Harasis 589","H5","666.6",2009
"Jiddat al Harasis 590","H5","1044",2009
"Jiddat al Harasis 591","H5","103.3",2009
"Jiddat al Harasis 592","H5","423.2",2009
"Jiddat al Harasis 593","H5","1725.1",2009
"Jiddat al Harasis 594","H5","201.3",2009
"Jiddat al Harasis 595","L5","929.1",2009
"Jiddat al Harasis 596","L3","336.4",2009
"Jiddat al Harasis 597","H4","51.3",2009
"Jiddat al Harasis 598","L6","39.2",2009
"Jiddat al Harasis 599","L6","169.7",2009
"Jiddat al Harasis 600","L6","5750.8",2009
"Jiddat al Harasis 601","L6","59.8",2009
"Jiddat al Harasis 602","H6","40",2009
"Jiddat al Harasis 603","H5","29.4",2009
"Jiddat al Harasis 604","H4-6","754",2009
"Jiddat al Harasis 605","L6","58.5",2009
"Jiddat al Harasis 606","H5","114.7",2009
"Jiddat al Harasis 607","L6","1317.6",2009
"Jiddat al Harasis 608","H5","120.6",2009
"Jiddat al Harasis 609","L6","442.9",2009
"Jiddat al Harasis 610","H3-5","457.5",2009
"Jiddat al Harasis 611","H4","109.5",2009
"Jiddat al Harasis 612","H6","179.7",2009
"Jiddat al Harasis 613","H4/5","241",2009
"Jiddat al Harasis 614","H4/5","3532.9",2009
"Jiddat al Harasis 615","H5","111.3",2009
"Jiddat al Harasis 616","H4","360.5",2009
"Jiddat al Harasis 617","H5","128.4",2009
"Jiddat al Harasis 618","H4","42.9",2009
"Jiddat al Harasis 619","CO3","14.5",2009
"Jiddat al Harasis 620","L6","244.6",2009
"Jiddat al Harasis 621","L6","43.4",2009
"Jiddat al Harasis 622","H5","76.5",2009
"Jiddat al Harasis 623","H4","22.1",2009
"Jiddat al Harasis 624","L6","34.2",2009
"Jiddat al Harasis 625","L4","62.8",2009
"Jiddat al Harasis 626","Eucrite-pmict","466",2010
"Jiddat al Harasis 628","H5","16000",2009
"Jiddat al Harasis 629","L4","888",2010
"Jiddat al Harasis 630","L5","3036",2010
"Jiddat al Harasis 631","L4","28.32",2010
"Jiddat al Harasis 632","LL5","421",2010
"Jiddat al Harasis 633","L4","51.1",2010
"Jiddat al Harasis 634","LL4","206.9",2010
"Jiddat al Harasis 635","LL5","397.8",2010
"Jiddat al Harasis 636","LL5","76.4",2010
"Jiddat al Harasis 637","LL5","165.3",2010
"Jiddat al Harasis 638","LL4","88.2",2010
"Jiddat al Harasis 639","LL5","802",2010
"Jiddat al Harasis 640","LL5","233",2010
"Jiddat al Harasis 641","Ureilite","25.3",2011
"Jiddat al Harasis 642","LL3-6","219.72",2010
"Jiddat al Harasis 643","LL6","132.81",2010
"Jiddat al Harasis 644","L6","2272.8",2010
"Jiddat al Harasis 645","H5","3030",2010
"Jiddat al Harasis 646","H4","3020",2010
"Jiddat al Harasis 647","L6","365.6",2010
"Jiddat al Harasis 648","H4","1577.9",2010
"Jiddat al Harasis 649","L6","15.95",2010
"Jiddat al Harasis 650","H5","868",2010
"Jiddat al Harasis 651","H3.9","207.62",2010
"Jiddat al Harasis 652","H4-6","242.35",2010
"Jiddat al Harasis 653","H5","57.6",2010
"Jiddat al Harasis 654","H4","80",2011
"Jiddat al Harasis 655","L5","56",2011
"Jiddat al Harasis 656","L6","1225",2011
"Jiddat al Harasis 657","L5","720",2011
"Jiddat al Harasis 659","L3.6","2191.4",2011
"Jiddat al Harasis 660","L4","390.8",2011
"Jiddat al Harasis 661","L5","516.1",2011
"Jiddat al Harasis 662","H6","548.7",2011
"Jiddat al Harasis 663","L6","1.6",2011
"Jiddat al Harasis 664","H5","12175",2011
"Jiddat al Harasis 665","H5","2637",2011
"Jiddat al Harasis 666","H4-6","1015",2011
"Jiddat al Harasis 667","H4","487.4",2011
"Jiddat al Harasis 668","H5","1979",2011
"Jiddat al Harasis 669","L6","810.6",2011
"Jiddat al Harasis 670","H5","2399",2011
"Jiddat al Harasis 671","H5","1.82",2011
"Jiddat al Harasis 672","H5","4.94",2011
"Jiddat al Harasis 673","H5","1.48",2011
"Jiddat al Harasis 674","H5","22.6",2011
"Jiddat al Harasis 675","H5","19.36",2011
"Jiddat al Harasis 676","H5","22.2",2011
"Jiddat al Harasis 677","H5","27.1",2011
"Jiddat al Harasis 678","H5","16.38",2011
"Jiddat al Harasis 679","H5","198.4",2011
"Jiddat al Harasis 680","H5","84.1",2011
"Jiddat al Harasis 681","H5","26.1",2011
"Jiddat al Harasis 682","H5","293.2",2011
"Jiddat al Harasis 683","H5","35.3",2011
"Jiddat al Harasis 684","H5","30.9",2011
"Jiddat al Harasis 685","H4","1.51",2011
"Jiddat al Harasis 686","H4","148.3",2011
"Jiddat al Harasis 687","H4","0.46",2011
"Jiddat al Harasis 688","H4","24.4",2011
"Jiddat al Harasis 689","H5","11.67",2011
"Jiddat al Harasis 690","H6","632.1",2011
"Jiddat al Harasis 691","H5","27.6",2011
"Jiddat al Harasis 692","LL6","387",2011
"Jiddat al Harasis 693","L6","566",2011
"Jiddat al Harasis 694","L6","515.5",2011
"Jiddat al Harasis 695","H5","87.8",2011
"Jiddat al Harasis 696","L6","317.1",2011
"Jiddat al Harasis 697","L6","93.6",2011
"Jiddat al Harasis 698","H4-5","1900",2011
"Jiddat al Harasis 699","L6","13.7",2011
"Jiddat al Harasis 700","L6","93.2",2011
"Jiddat al Harasis 701","H6","914.2",2011
"Jiddat al Harasis 702","H5","120.1",2011
"Jiddat al Harasis 703","H5","39.4",2011
"Jiddat al Harasis 704","H4","1.36",2011
"Jiddat al Harasis 705","H5","185",2011
"Jiddat al Harasis 706","H5","347.6",2011
"Jiddat al Harasis 707","L5","242.9",2011
"Jiddat al Harasis 708","H4-6","127.2",2011
"Jiddat al Harasis 709","L6","92",2011
"Jiddat al Harasis 710","H4-5","278.2",2011
"Jiddat al Harasis 711","H5","2222",2011
"Jiddat al Harasis 712","L5","70.7",2011
"Jiddat al Harasis 713","H6","153.1",2011
"Jiddat al Harasis 714","L6","175.3",2011
"Jiddat al Harasis 715","L5","163.5",2011
"Jiddat al Harasis 716","L5","364.2",2011
"Jiddat al Harasis 717","L5/6","942",2011
"Jiddat al Harasis 798","Mesosiderite","16.6",2001
"Jiddat al Harasis 799","LL6","212",2012
"Jiddat Arkad 001","L6","672",2000
"Jiddat Arkad 002","H3-5","581",2000
"Joe Wright Mountain","Iron, IIIAB","42600",1884
"Joel's Iron","Iron, IIIAB","1300",1858
"Johannesburg","H4","63",2012
"Johannessen Nunataks 01001","H5","1058.7",2001
"Johannessen Nunataks 03001","H6","127.7",2003
"Johannessen Nunataks 03002","H6","50.2",2003
"Johannessen Nunataks 03003","H6","28.5",2003
"Johannessen Nunataks 03004","H6","34.1",2003
"Johannessen Nunataks 03005","H6","112.4",2003
"Johannessen Nunataks 03006","H6","40.1",2003
"Johannessen Nunataks 03007","H6","929.3",2003
"Johannessen Nunataks 03008","H6","365.3",2003
"Johannessen Nunataks 03009","H6","400",2003
"Johannessen Nunataks 03010","H6","445",2003
"Johannessen Nunataks 03011","H5","407.3",2003
"Johannessen Nunataks 03012","H5","172.5",2003
"Johannessen Nunataks 03013","H6","162.4",2003
"Johannessen Nunataks 03014","H5","16.1",2003
"Johannessen Nunataks 03015","LL5","121.2",2003
"Johannessen Nunataks 03016","H6","4.8",2003
"Johannessen Nunataks 03017","H6","1.9",2003
"Johannessen Nunataks 03018","H6","0.2",2003
"Johannessen Nunataks 03019","H6","1.4",2003
"Johnson City","L6","10400",1937
"Jonah","H5","1304",1963
"Jonesboro","Iron, IVA","30",1891
"Juanita de Angeles","H5","85000",1992
"Juarez","L6","6100",1938
"Juderina Spring","L6","2198",1990
"Julesburg","L3.6","57900",1983
"Juncal","Iron, IIIAB","104000",1866
"Junction","L5","241",1932
"Jungo 001","L6","70.7",2007
"Jungo 002","H6","27.8",2007
"Jungo 003","H6","29.1",2007
"Kaalijarv","Iron, IAB-MG","2250",1937
"Kabakly","H4","71.6",1965
